과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경영통계학,3,교수004,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생316,202400316,24,74,9,10,0,,,,,
학생395,202400395,24,75,3,10,0,,,,,
학생022,202400022,24,85,8,10,0,,,,,
학생186,202400186,22,71,7,9,0,,,,,
학생151,202400151,23,95,7,10,0,,,,,
학생393,202400393,29,64,3,10,0,,,,,
학생248,202400248,18,82,8,10,0,,,,,
학생119,202400119,27,82,4,9,0,,,,,
학생342,202400342,17,89,7,9,0,,,,,
학생226,202400226,28,61,10,8,0,,,,,
학생213,202400213,25,100,8,10,0,,,,,
학생321,202400321,29,74,8,10,0,,,,,
학생382,202400382,24,61,4,8,0,,,,,
학생188,202400188,17,89,7,10,0,,,,,
학생182,202400182,18,52,3,10,0,,,,,
학생322,202400322,24,99,9,10,0,,,,,
학생277,202400277,26,55,3,9,0,,,,,
학생040,202400040,24,96,4,10,0,,,,,
학생095,202400095,18,79,4,9,0,,,,,
학생299,202400299,21,70,10,9,0,,,,,
학생171,202400171,28,84,6,9,0,,,,,
학생106,202400106,17,58,5,8,0,,,,,
학생292,202400292,15,90,6,9,0,,,,,
학생272,202400272,18,85,6,8,0,,,,,
학생177,202400177,18,81,10,9,0,,,,,
학생070,202400070,20,86,9,8,0,,,,,
학생312,202400312,23,79,4,10,0,,,,,
학생222,202400222,23,87,10,8,0,,,,,
학생012,202400012,24,81,10,9,0,,,,,
학생172,202400172,28,60,3,8,0,,,,,
학생060,202400060,18,71,6,9,0,,,,,
학생035,202400035,24,81,10,8,0,,,,,
학생206,202400206,25,94,9,10,0,,,,,
학생228,202400228,17,93,7,8,0,,,,,
학생110,202400110,22,50,10,9,0,,,,,
학생092,202400092,28,76,9,10,0,,,,,
학생259,202400259,19,70,3,10,0,,,,,
학생348,202400348,19,56,10,8,0,,,,,
학생309,202400309,23,95,6,8,0,,,,,
학생233,202400233,30,66,7,8,0,,,,,
학생133,202400133,28,68,7,8,0,,,,,
학생236,202400236,21,56,3,10,0,,,,,
학생368,202400368,19,69,6,9,0,,,,,
학생034,202400034,16,88,10,10,0,,,,,
학생354,202400354,29,73,3,10,0,,,,,
학생047,202400047,15,68,9,8,0,,,,,
학생227,202400227,17,53,8,10,0,,,,,
학생359,202400359,24,81,8,9,0,,,,,
학생293,202400293,29,92,10,10,0,,,,,
학생265,202400265,18,89,3,8,0,,,,,
학생123,202400123,27,86,7,9,0,,,,,
학생216,202400216,22,53,6,9,0,,,,,
학생305,202400305,19,74,6,9,0,,,,,
학생384,202400384,26,74,4,9,0,,,,,
학생392,202400392,26,62,7,10,0,,,,,
학생294,202400294,24,96,6,10,0,,,,,
학생241,202400241,16,95,10,9,0,,,,,
학생069,202400069,19,58,7,8,0,,,,,
학생271,202400271,24,100,5,10,0,,,,,
학생082,202400082,22,77,3,10,0,,,,,
학생037,202400037,21,59,7,8,0,,,,,
학생217,202400217,22,92,9,9,0,,,,,
학생140,202400140,15,83,10,10,0,,,,,
학생143,202400143,23,52,4,8,0,,,,,
학생274,202400274,19,90,5,8,0,,,,,
학생245,202400245,15,56,10,9,0,,,,,
학생185,202400185,17,96,6,9,0,,,,,
학생135,202400135,24,96,4,9,0,,,,,
학생239,202400239,28,88,4,9,0,,,,,
학생096,202400096,18,100,3,8,0,,,,,
학생364,202400364,17,59,9,9,0,,,,,
학생052,202400052,26,97,10,9,0,,,,,
학생275,202400275,24,95,10,8,0,,,,,
학생267,202400267,28,84,3,8,0,,,,,
학생264,202400264,24,79,7,10,0,,,,,
학생125,202400125,23,67,6,9,0,,,,,
학생159,202400159,26,72,4,10,0,,,,,
학생121,202400121,27,81,10,8,0,,,,,
학생333,202400333,24,57,4,10,0,,,,,
학생027,202400027,17,77,6,8,0,,,,,
학생202,202400202,22,54,4,8,0,,,,,
학생153,202400153,17,63,8,8,0,,,,,
학생375,202400375,22,84,9,10,0,,,,,
학생004,202400004,25,76,9,10,0,,,,,
학생357,202400357,23,79,7,8,0,,,,,
학생301,202400301,28,94,9,8,0,,,,,
학생281,202400281,28,55,3,10,0,,,,,
학생268,202400268,29,84,9,8,0,,,,,
학생017,202400017,24,58,9,10,0,,,,,
학생043,202400043,21,86,10,9,0,,,,,
학생381,202400381,27,67,8,10,0,,,,,
학생132,202400132,27,83,10,8,0,,,,,
학생338,202400338,16,76,7,10,0,,,,,
학생180,202400180,28,91,8,9,0,,,,,
학생244,202400244,27,81,3,10,0,,,,,
학생194,202400194,23,60,7,10,0,,,,,
학생116,202400116,25,86,5,10,0,,,,,
학생304,202400304,18,54,9,8,0,,,,,
학생308,202400308,19,73,4,9,0,,,,,
학생114,202400114,15,69,9,8,0,,,,,
학생341,202400341,24,63,7,9,0,,,,,
학생345,202400345,26,53,8,10,0,,,,,
