과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
관리회계,1,교수004,0.300000,0.400000,0.200000,0.100000,0.150000,0.150000,0.600000,0.090000,0.010000
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생320,202400320,22,80,5,9,1,,,,,
학생003,202400003,16,71,7,8,1,,,,,
학생322,202400322,21,89,5,10,1,,,,,
학생357,202400357,27,76,3,9,1,,,,,
학생183,202400183,28,57,6,8,1,,,,,
학생370,202400370,29,60,9,8,1,,,,,
학생057,202400057,26,99,6,9,1,,,,,
학생099,202400099,22,59,4,9,1,,,,,
학생184,202400184,23,73,5,8,1,,,,,
학생360,202400360,23,76,5,10,1,,,,,
학생331,202400331,27,70,10,9,1,,,,,
학생230,202400230,30,73,6,9,1,,,,,
학생138,202400138,18,95,5,8,1,,,,,
학생127,202400127,17,78,5,10,1,,,,,
학생198,202400198,26,56,7,8,1,,,,,
학생157,202400157,18,97,10,8,1,,,,,
학생156,202400156,25,90,7,10,1,,,,,
학생210,202400210,12,77,4,8,1,,,,,
학생250,202400250,18,50,6,10,1,,,,,
학생362,202400362,27,55,4,9,1,,,,,
학생040,202400040,23,89,7,8,1,,,,,
학생026,202400026,24,65,6,10,1,,,,,
학생199,202400199,18,64,9,9,1,,,,,
학생043,202400043,16,58,10,9,1,,,,,
학생263,202400263,25,52,10,10,1,,,,,
학생078,202400078,29,100,9,10,1,,,,,
학생196,202400196,14,81,4,8,1,,,,,
학생240,202400240,12,72,5,10,1,,,,,
학생134,202400134,24,61,7,10,1,,,,,
학생155,202400155,13,82,7,9,1,,,,,
학생279,202400279,14,57,8,8,1,,,,,
학생171,202400171,13,64,4,9,1,,,,,
학생340,202400340,27,97,8,9,1,,,,,
학생247,202400247,16,89,7,8,1,,,,,
학생316,202400316,20,78,10,8,1,,,,,
학생101,202400101,21,75,3,8,1,,,,,
학생204,202400204,16,74,10,9,1,,,,,
학생296,202400296,13,84,9,9,1,,,,,
학생137,202400137,13,91,5,10,1,,,,,
학생117,202400117,21,54,4,10,1,,,,,
학생378,202400378,12,81,6,8,1,,,,,
학생163,202400163,16,75,3,10,1,,,,,
학생131,202400131,28,74,10,9,1,,,,,
학생024,202400024,14,72,3,8,1,,,,,
학생276,202400276,28,92,4,9,1,,,,,
학생017,202400017,12,58,9,10,1,,,,,
학생048,202400048,25,97,6,8,1,,,,,
학생343,202400343,30,62,8,9,1,,,,,
학생334,202400334,20,73,5,9,1,,,,,
학생201,202400201,29,94,3,10,1,,,,,
학생212,202400212,20,95,9,8,1,,,,,
학생376,202400376,16,71,4,8,1,,,,,
학생398,202400398,12,63,4,9,1,,,,,
학생306,202400306,19,86,4,9,1,,,,,
학생246,202400246,30,59,6,9,1,,,,,
학생282,202400282,14,67,7,9,1,,,,,
학생379,202400379,19,98,10,9,1,,,,,
학생092,202400092,17,85,3,9,1,,,,,
학생120,202400120,28,59,8,10,1,,,,,
학생298,202400298,24,96,6,8,1,,,,,
학생180,202400180,30,96,7,10,1,,,,,
학생015,202400015,11,92,5,8,1,,,,,
학생237,202400237,15,94,4,8,1,,,,,
학생255,202400255,12,53,8,9,1,,,,,
학생087,202400087,18,61,5,9,1,,,,,
학생348,202400348,20,66,4,9,1,,,,,
학생327,202400327,10,96,4,9,1,,,,,
학생245,202400245,23,60,3,8,1,,,,,
학생262,202400262,13,74,8,9,1,,,,,
학생313,202400313,15,64,7,8,1,,,,,
학생160,202400160,23,87,3,9,1,,,,,
학생178,202400178,18,91,8,8,1,,,,,
학생319,202400319,21,95,8,8,1,,,,,
학생387,202400387,26,96,3,10,1,,,,,
학생001,202400001,14,92,6,9,1,,,,,
학생053,202400053,11,88,4,10,1,,,,,
학생243,202400243,24,79,9,8,1,,,,,
학생023,202400023,14,99,5,9,1,,,,,
학생076,202400076,27,81,3,10,1,,,,,
학생260,202400260,10,82,5,8,1,,,,,
학생337,202400337,19,84,9,8,1,,,,,
학생373,202400373,29,92,6,8,1,,,,,
학생041,202400041,23,67,7,9,1,,,,,
학생294,202400294,21,59,5,9,1,,,,,
학생347,202400347,19,88,9,9,1,,,,,
학생338,202400338,21,65,7,8,1,,,,,
학생231,202400231,23,65,6,10,1,,,,,
학생328,202400328,29,83,3,9,1,,,,,
학생002,202400002,19,89,9,9,1,,,,,
학생268,202400268,25,66,3,9,1,,,,,
학생012,202400012,19,59,7,9,1
