과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경영학원론,4,교수003,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생275,202400275,21,64,10,8,1,,,,,
학생139,202400139,27,82,10,8,1,,,,,
학생174,202400174,23,67,6,10,1,,,,,
학생287,202400287,27,94,6,9,1,,,,,
학생359,202400359,20,59,4,10,1,,,,,
학생255,202400255,29,51,8,8,1,,,,,
학생005,202400005,15,85,5,8,1,,,,,
학생027,202400027,16,84,8,10,1,,,,,
학생178,202400178,28,70,8,8,1,,,,,
학생087,202400087,25,81,10,8,1,,,,,
학생338,202400338,16,59,4,10,1,,,,,
학생052,202400052,21,86,4,9,1,,,,,
학생303,202400303,18,89,3,8,1,,,,,
학생067,202400067,24,80,7,10,1,,,,,
학생362,202400362,16,94,9,9,1,,,,,
학생138,202400138,19,70,4,9,1,,,,,
학생295,202400295,22,80,7,9,1,,,,,
학생316,202400316,29,54,10,9,1,,,,,
학생162,202400162,21,83,10,10,1,,,,,
학생017,202400017,18,82,8,8,1,,,,,
학생247,202400247,24,74,4,8,1,,,,,
학생268,202400268,19,70,10,9,1,,,,,
학생248,202400248,24,60,7,9,1,,,,,
학생208,202400208,15,87,10,9,1,,,,,
학생254,202400254,24,64,7,9,1,,,,,
학생128,202400128,16,61,6,9,1,,,,,
학생269,202400269,21,80,3,10,1,,,,,
학생137,202400137,22,92,7,9,1,,,,,
학생225,202400225,30,93,7,8,1,,,,,
학생350,202400350,22,69,5,9,1,,,,,
학생062,202400062,19,78,10,10,1,,,,,
학생079,202400079,23,61,9,10,1,,,,,
학생036,202400036,20,93,9,10,1,,,,,
학생064,202400064,25,87,4,8,1,,,,,
학생324,202400324,21,59,5,8,1,,,,,
학생354,202400354,29,70,6,10,1,,,,,
학생097,202400097,20,61,4,10,1,,,,,
학생182,202400182,18,51,9,8,1,,,,,
학생043,202400043,28,100,6,10,1,,,,,
학생351,202400351,26,90,8,8,1,,,,,
학생279,202400279,27,77,5,10,1,,,,,
학생400,202400400,20,58,6,8,1,,,,,
학생077,202400077,28,55,8,10,1,,,,,
학생282,202400282,15,99,7,10,1,,,,,
학생078,202400078,19,70,8,8,1,,,,,
학생328,202400328,20,92,9,8,1,,,,,
학생061,202400061,18,89,10,8,1,,,,,
학생115,202400115,29,95,7,10,1,,,,,
학생216,202400216,15,84,9,9,1,,,,,
학생092,202400092,30,95,4,8,1,,,,,
학생346,202400346,19,71,7,9,1,,,,,
학생274,202400274,24,55,10,9,1,,,,,
학생183,202400183,17,79,6,8,1,,,,,
학생388,202400388,27,71,7,10,1,,,,,
학생107,202400107,27,89,9,8,1,,,,,
학생266,202400266,27,84,8,8,1,,,,,
학생294,202400294,23,95,4,8,1,,,,,
학생140,202400140,30,70,9,10,1,,,,,
학생299,202400299,17,84,4,10,1,,,,,
학생215,202400215,22,55,9,10,1,,,,,
학생245,202400245,20,51,9,9,1,,,,,
학생055,202400055,22,93,8,8,1,,,,,
학생165,202400165,18,69,5,9,1,,,,,
학생203,202400203,29,89,8,9,1,,,,,
학생023,202400023,26,85,9,8,1,,,,,
학생236,202400236,28,98,10,9,1,,,,,
학생011,202400011,25,85,3,9,1,,,,,
학생103,202400103,23,91,8,10,1,,,,,
학생399,202400399,30,80,9,8,1,,,,,
학생234,202400234,16,71,6,8,1,,,,,
학생131,202400131,15,81,9,8,1,,,,,
학생167,202400167,26,62,7,9,1,,,,,
학생071,202400071,18,60,6,8,1,,,,,
학생280,202400280,25,54,8,8,1,,,,,
학생258,202400258,23,58,6,9,1,,,,,
